"NM_000059.3"	"ENST00000544455"	"BRCA2"
"NM_000384.2"	"ENST00000233242"	"APOB"
"NM_000527.4"	"ENST00000558518"	"LDLR"
"NM_007294.3"	"ENST00000357654"	"BRCA1"
"NM_015120.4"	"ENST00000264448"	"ALMS1"
"NM_015627.2"	"ENST00000374338"	"LDLRAP1"
"NM_018190.3"	"ENST00000264499"	"BBS7"
"NM_018848.3"	"ENST00000399054"	"MKKS"
"NM_024649.4"	"ENST00000318312"	"BBS1"
"NM_024685.3"	"ENST00000393262"	"BBS10"
"NM_031885.3"	"ENST00000245157"	"BBS2"
"NM_032146.3"	"ENST00000493990"	"ARL6"
"NM_033028.3"	"ENST00000268057"	"BBS4"
"NM_144596.2"	"ENST00000380656"	"TTC8"
"NM_152384.2"	"ENST00000295240"	"BBS5"
"NM_152618.2"	"ENST00000542236"	"BBS12"
"NM_174936.3"	"ENST00000302118"	"PCSK9"
"NM_198428.2"	"ENST00000242067"	"BBS9"
